stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone,wheelchair_boarding,stop_lon,stop_lat
9100PADTON10,PAD,London Paddington Platform 10,3,,,0,910GPADTON,10,Europe/London,1,-0.176844743,51.51645141
9100PADTON11,PAD,London Paddington Platform 11,3,,,0,910GPADTON,11,Europe/London,1,-0.176844743,51.51645141
9100PADTON5,PAD,London Paddington Platform 5,3,,,0,910GPADTON,5,Europe/London,1,-0.176844743,51.51645141
9100PADTON6,PAD,London Paddington Platform 6,3,,,0,910GPADTON,6,Europe/London,1,-0.176844743,51.51645141
9100PADTON7,PAD,London Paddington Platform 7,3,,,0,910GPADTON,7,Europe/London,1,-0.176844743,51.51645141
9100PENZNCE4,PNZ,Penzance Platform 4,1,,,0,910GPENZNCE,4,Europe/London,1,-5.532467153,50.12168229
9100PERTH4,PTH,Perth Platform 4,2,,,0,910GPERTH,4,Europe/London,1,-3.4400422,56.39268166
9100PERTH7,PTH,Perth Platform 7,2,,,0,910GPERTH,7,Europe/London,1,-3.4400422,56.39268166
9100PLYMTH4,PLY,Plymouth Platform 4,2,,,0,910GPLYMTH,4,Europe/London,1,-4.143363131,50.37781736
9100PORH,POR,Porth,0,,,0,910GPORH,,Europe/London,1,-3.407203552,51.61253349
9100PRST3,PRE,Preston (Lancs) Platform 3,3,,,0,910GPRST,3,Europe/London,1,-2.708124657,53.75687052
9100PRST4,PRE,Preston (Lancs) Platform 4,3,,,0,910GPRST,4,Europe/London,1,-2.708124657,53.75687052
9100PTLCHRY1,PIT,Pitlochry Platform 1,0,,,0,910GPTLCHRY,1,Europe/London,2,-3.735573831,56.70249117
9100RANNOCH1,RAN,Rannoch Platform 1,0,,,0,910GRANNOCH,1,Europe/London,2,-4.576863849,56.68602884
9100RANNOCH2,RAN,Rannoch Platform 2,0,,,0,910GRANNOCH,2,Europe/London,2,-4.576863849,56.68602884
9100RCKMNSW,RIC,Rickmansworth,0,,,0,910GRCKMNSW,,Europe/London,2,-0.4732729561,51.6402466027
9100RDNGSTN10,RDG,Reading Platform 10,2,,,0,910GRDNGSTN,10,Europe/London,1,-0.971854374,51.45878189
9100RDNGSTN13,RDG,Reading Platform 13,2,,,0,910GRDNGSTN,13,Europe/London,1,-0.971854374,51.45878189
9100RDNGSTN15,RDG,Reading Platform 15,2,,,0,910GRDNGSTN,15,Europe/London,1,-0.971854374,51.45878189
9100REDRUTH2,RED,Redruth Platform 2,1,,,0,910GREDRUTH,2,Europe/London,0,-5.225974546,50.2332413
9100ROYBDGE1,RYB,Roy Bridge Platform 1,0,,,0,910GROYBDGE,1,Europe/London,2,-4.837241562,56.88834445
9100RTHERHI2,ROE,Rotherhithe Platform 2,0,,,0,910GRTHERHI,2,Europe/London,2,-0.053555,51.500975
9100SDON1,SWI,Swindon (Wilts) Platform 1,2,,,0,910GSDON,1,Europe/London,1,-1.785510103,51.56547293
9100SEABURN,SEB,SEABURN,0,,,0,910GSEABURN,,Europe/London,0,-1.386693344162065,54.929533923049185
9100SHADWEL2,SDE,Shadwell Platform 2,1,,,0,910GSHADWEL,2,Europe/London,2,-0.057454,51.510931
9100SHOTTLE,SHX,SHOTTLE,0,,,0,910GSHOTTLE,,Europe/London,0,-1.5482918287962386,53.01764228185568
9100SHRDHST2,SDC,Shoreditch High Street Platform 2,0,,,0,910GSHRDHST,2,Europe/London,1,-0.075684,51.522922
9100SHVN1,STN,Stonehaven Platform 1,0,,,0,910GSHVN,1,Europe/London,2,-2.225305286,56.96681762
9100SHVN2,STN,Stonehaven Platform 2,0,,,0,910GSHVN,2,Europe/London,2,-2.225305286,56.96681762
9100SLOUGH3,SLO,Slough Platform 3,2,,,0,910GSLOUGH,3,Europe/London,1,-0.591504981,51.51187689
9100SNDRLND1,SUN,Sunderland Platform 1,1,,,0,910GSNDRLND,1,Europe/London,1,-1.382377347,54.905507
9100SNDRMNK,STZ,ST PETERS,0,,,0,910GSNDRMNK,,Europe/London,0,-1.3838608058517003,54.91064806268426
9100SOTNTQ,STQ,SOTON TOWN QUAY,1,,,0,910GSOTNTQ,,Europe/London,0,-1.4084462174509178,50.89518199109962
9100SOTON,SOU,Southampton Central,2,,,0,910GSOTON,,Europe/London,1,-1.413602474,50.90743864
9100SPEANBD1,SBR,Spean Bridge Platform 1,0,,,0,910GSPEANBD,1,Europe/London,2,-4.921608593,56.8899942
9100SPEANBD2,SBR,Spean Bridge Platform 2,0,,,0,910GSPEANBD,2,Europe/London,2,-4.921608593,56.8899942
9100STAUSTL2,SAU,St Austell Platform 2,1,,,0,910GSTAUSTL,2,Europe/London,1,-4.789405571,50.33950737
9100STDI,STI,STADIUM OF LIGHT,0,,,0,910GSTDI,,Europe/London,0,-1.383751032759901,54.91783667240321
9100STERTH2,SER,St Erth Platform 2,1,,,0,910GSTERTH,2,Europe/London,0,-5.444317521,50.1704777
9100STIRLNG2,STG,Stirling Platform 2,2,,,0,910GSTIRLNG,2,Europe/London,1,-3.935616947,56.11979974
9100STIRLNG3,STG,Stirling Platform 3,2,,,0,910GSTIRLNG,3,Europe/London,1,-3.935616947,56.11979974
9100SURREYQ2,SQE,Surrey Quays Platform 2,1,,,0,910GSURREYQ,2,Europe/London,2,-0.048142,51.492791
9100TOTNES2,TOT,Totnes Platform 2,1,,,0,910GTOTNES,2,Europe/London,1,-3.688721847,50.43584686
9100TRURO3,TRU,Truro Platform 3,1,,,0,910GTRURO,3,Europe/London,0,-5.064866947,50.26382962
9100TULLOCH1,TUL,Tulloch Platform 1,0,,,0,910GTULLOCH,1,Europe/London,2,-4.701316764,56.88425855
9100TULLOCH2,TUL,Tulloch Platform 2,0,,,0,910GTULLOCH,2,Europe/London,2,-4.701316764,56.88425855
9100TYNDRMU1,UTY,Upper Tyndrum Platform 1,0,,,0,910GTYNDRMU,1,Europe/London,2,-4.703705412,56.43464844
9100TYNDRMU2,UTY,Upper Tyndrum Platform 2,0,,,0,910GTYNDRMU,2,Europe/London,2,-4.703705412,56.43464844
9100WAPPING2,WPE,Wapping Platform 2,0,,,0,910GWAPPING,2,Europe/London,2,-0.05632,51.503718
9100WATFDJ7,WFJ,Watford Junction Platform 7,2,,,0,910GWATFDJ,7,Europe/London,1,-0.396519634,51.66352959
9100WCHAPEL6,ZLW,Whitechapel Platform 6,2,,,0,910GWCHAPEL,6,Europe/London,1,-0.059757122,51.519467
910GABRDEEN,ABD,Aberdeen,2,,,1,,,Europe/London,1,-2.097480496,57.14304825
910GACBG,ACB,Acton Bridge (Cheshire),0,,,1,,,Europe/London,2,-2.60266626,53.26598504
910GACTONW,EAL,Ealing Broadway,9,,,1,,,Europe/London,1,-0.301752259,51.51484651
910GAIRDRIE,ADR,Airdrie,1,,,1,,,Europe/London,1,-3.982897473,55.86397274
910GAIRP,APN,NEWCASTLE AIRPRT,0,,,1,,,Europe/London,0,-1.7120796829648182,55.03587810261157
910GAMERSHM,AMR,Amersham,1,,,1,,,Europe/London,1,-0.607590127,51.6742069133
910GAMNGTNJ,TAM,Tamworth,9,,,1,,,Europe/London,1,-1.687269406,52.63712963
910GANSL,ANL,Anniesland,1,,,1,,,Europe/London,2,-4.321640769,55.88949536
910GARBROTH,ARB,Arbroath,1,,,1,,,Europe/London,1,-2.5889364,56.55956606
910GARCHRAT,ART,Arrochar & Tarbet,0,,,1,,,Europe/London,2,-4.722756857,56.2039585
910GARDLUI,AUI,Ardlui,0,,,1,,,Europe/London,2,-4.721642823,56.3019481
910GASTON,AST,Aston,1,,,1,,,Europe/London,1,-1.871779432,52.50513897
910GAVIEMRE,AVM,Aviemore,1,,,1,,,Europe/London,2,-3.828333974,57.18905401
910GBATHSPA,BTH,Bath Spa,2,,,1,,,Europe/London,1,-2.357034178,51.37768276
910GBEDYN,BDW,Bedwyn,1,,,1,,,Europe/London,2,-1.598795279,51.37963498
910GBHAMINT,BHI,Birmingham International,3,,,1,,,Europe/London,1,-1.725863394,52.45081461
910GBISLND,BTS,Burntisland,0,,,1,,,Europe/London,2,-3.233192254,56.05706911
910GBKSWELL,BKW,Berkswell,0,,,1,,,Europe/London,1,-1.642844919,52.39589581
910GBLARATH,BLA,Blair Atholl,0,,,1,,,Europe/London,1,-3.850217553,56.7655294
910GBLGRVE,BLG,Bellgrove,1,,,1,,,Europe/London,2,-4.225428982,55.85711966
910GBLTCHLY,BLY,Bletchley,2,,,1,,,Europe/London,2,-0.736316135,51.99534498
910GBODMNPW,BOD,Bodmin Parkway,1,,,1,,,Europe/London,2,-4.662971107,50.44585588
910GBOORCHY,BRO,Bridge of Orchy,0,,,1,,,Europe/London,2,-4.762977191,56.51584582
910GBRDGWTR,BWT,Bridgwater,2,,,1,,,Europe/London,0,-2.99028809,51.12807318
910GBRFRY,BYF,Broughty Ferry,0,,,1,,,Europe/London,1,-2.873149715,56.4671506
910GBRSTLTM,BRI,Bristol Temple Meads,2,,,1,,,Europe/London,1,-2.581322795,51.44914299
910GBRWHINS,BNR,BROCKLEY WHINS,0,,,1,,,Europe/London,0,-1.4627706868661126,54.95865016473463
910GBSCTSTA,BSC,Bescot Stadium,0,,,1,,,Europe/London,2,-1.99110442,52.56274493
910GBSHB,BBG,Bishopbriggs,0,,,1,,,Europe/London,2,-4.224906239,55.90386474
910GBTHGATE,BHG,Bathgate,1,,,1,,,Europe/London,1,-3.640968553,55.89911208
