from_stop_id,to_stop_id,transfer_type,min_transfer_time,mode,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
910GPADTON,910GACTONW,2,2400,TUBE,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GPADTON,910GAMERSHM,2,5160,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GPADTON,910GCHLFNAL,2,5100,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GPADTON,910GCHRW,2,5040,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GPADTON,910GEUSTON,2,780,TRANSFER|TUBE,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GPADTON,910GHROW,2,2400,TUBE,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GPADTON,910GPADTON,2,900,,,,,,,,,,,,
910GPADTON,910GRCKMNSW,2,4980,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GPARR,910GPARR,2,300,,,,,,,,,,,,
910GPARSNST,910GPARSNST,2,300,,,,,,,,,,,,
910GPBLJWM,910GPBLJWM,2,420,,,,,,,,,,,,
910GPENZNCE,910GPENZNCE,2,300,,,,,,,,,,,,
910GPERTH,910GPERTH,2,300,,,,,,,,,,,,
910GPLYMTH,910GPLYMTH,2,300,,,,,,,,,,,,
910GPNKRDG,910GPNKRDG,2,300,,,,,,,,,,,,
910GPNTH,910GPNTH,2,300,,,,,,,,,,,,
910GPOLMONT,910GPOLMONT,2,180,,,,,,,,,,,,
910GPORH,910GPORH,2,180,,,,,,,,,,,,
910GPRST,910GPRST,2,480,,,,,,,,,,,,
910GPTLCHRY,910GPTLCHRY,2,300,,,,,,,,,,,,
910GRANNOCH,910GRANNOCH,2,300,,,,,,,,,,,,
910GRCKMNSW,910GAMERSHM,2,2460,TRANSFER,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GRCKMNSW,910GEUSTON,2,4980,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GRCKMNSW,910GPADTON,2,4980,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GRCKMNSW,910GRCKMNSW,2,60,,,,,,,,,,,,
910GRDNGSTN,910GRDNGSTN,2,420,,,,,,,,,,,,
910GREDRUTH,910GREDRUTH,2,300,,,,,,,,,,,,
910GROYBDGE,910GROYBDGE,2,300,,,,,,,,,,,,
910GRTHERHI,910GRTHERHI,2,300,,,,,,,,,,,,
910GRUGBY,910GRUGBY,2,300,,,,,,,,,,,,
910GRUGLYNJ,910GRUGLYNJ,2,300,,,,,,,,,,,,
910GSASH,910GSASH,2,300,,,,,,,,,,,,
910GSCOTEJN,910GSCOTEJN,2,180,,,,,,,,,,,,
910GSDON,910GSDON,2,300,,,,,,,,,,,,
910GSEABURN,910GSEABURN,2,300,,,,,,,,,,,,
910GSHADWEL,910GSHADWEL,2,300,,,,,,,,,,,,
910GSHILDMR,910GSHILDMR,2,300,,,,,,,,,,,,
910GSHOTTLE,910GSHOTTLE,2,300,,,,,,,,,,,,
910GSHRDHST,910GSHRDHST,2,300,,,,,,,,,,,,
910GSHTLSTN,910GSHTLSTN,2,300,,,,,,,,,,,,
910GSHVN,910GSHVN,2,300,,,,,,,,,,,,
910GSLATEFD,910GSLATEFD,2,300,,,,,,,,,,,,
910GSLOUGH,910GSLOUGH,2,300,,,,,,,,,,,,
910GSNDRLND,910GSNDRLND,2,300,,,,,,,,,,,,
910GSNDRMNK,910GSNDRMNK,2,300,,,,,,,,,,,,
910GSOTNTQ,910GSOTNTQ,2,240,,,,,,,,,,,,
910GSOTNTQ,910GSOTON,2,1800,TRANSFER,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GSOTON,910GSOTNTQ,2,1800,TRANSFER,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GSOTON,910GSOTON,2,300,,,,,,,,,,,,
910GSPEANBD,910GSPEANBD,2,300,,,,,,,,,,,,
910GSTAFFRD,910GSTAFFRD,2,300,,,,,,,,,,,,
910GSTAUSTL,910GSTAUSTL,2,300,,,,,,,,,,,,
910GSTDI,910GSTDI,2,300,,,,,,,,,,,,
910GSTECHFD,910GSTECHFD,2,300,,,,,,,,,,,,
910GSTERTH,910GSTERTH,2,300,,,,,,,,,,,,
910GSTGRMNS,910GSTGRMNS,2,300,,,,,,,,,,,,
910GSTHALL,910GSTHALL,2,300,,,,,,,,,,,,
